DOEID,REGIONC,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,WALLTYPE,ROOFTYPE,ADQINSUL,HHSEX,HHAGE,EMPLOYHH,MONEYPY,KWH,NWEIGHT
100205,SOUTH,5,8,950,6,-2,2,1,30,1,15,8906.54,10050.16
100206,SOUTH,2,6,2200,1,5,2,1,55,1,16,24897.41,4865.825229
100207,WEST,2,2,2500,1,5,2,2,88,3,15,7126.37,11431.137
100208,WEST,1,7,1600,3,5,1,1,77,3,1,9731.21,4488.457636
100209,SOUTH,4,7,1120,1,5,3,1,66,3,12,13844.35,5130.007599
100210,WEST,2,5,1920,2,3,2,1,85,3,6,3761.24,2157.582569
100211,WEST,2,4,2250,2,2,2,1,61,3,11,17556.62,1346.906883
100212,MIDWEST,2,1,1600,3,5,3,1,55,1,13,10644.03,18092.15097
100213,WEST,2,4,990,4,99,3,2,64,3,10,6157.78,3840.20779
100214,WEST,2,5,1850,3,5,3,1,50,1,14,11748.83,929.1483349
100215,NORTHEAST,2,2,2130,3,5,2,1,64,3,7,8982.68,3055.583668
100216,WEST,4,1,850,4,99,4,2,61,4,4,4150.23,14468.05581
100217,MIDWEST,2,7,4200,3,5,1,2,59,1,13,10943.56,7285.448149
100218,MIDWEST,2,2,2600,3,5,2,1,68,3,7,4162.2,6493.844225
100219,WEST,2,6,1000,4,1,1,1,52,2,14,4303.67,9580.980103
100220,MIDWEST,2,4,3960,1,5,2,2,57,1,16,14989.43,5656.933588
100221,MIDWEST,5,8,1190,3,-2,2,1,24,2,15,7907.59,8924.882206
100222,NORTHEAST,2,1,4550,3,5,1,2,57,1,16,13486.07,7059.884883
100223,WEST,2,5,1520,4,5,3,2,79,3,9,5462.85,12608.91411
100224,WEST,2,1,1600,6,5,2,2,50,1,13,3586.78,1708.260261
100225,SOUTH,2,4,4800,1,4,2,1,58,1,13,38768.89,9991.021386
100226,NORTHEAST,2,6,900,2,5,1,2,72,3,11,3156.84,4726.620197
100227,NORTHEAST,2,1,1800,3,2,2,1,21,2,13,10590.25,9448.237902
100228,SOUTH,2,7,1340,1,5,2,1,25,1,14,8322.46,4432.066014
100229,SOUTH,2,6,1500,3,3,1,1,70,3,14,8741.49,9762.892801
100230,NORTHEAST,2,1,1580,3,5,2,1,69,3,8,4175.83,7902.036714
100231,SOUTH,2,3,1200,1,5,3,2,50,1,13,13904.22,8609.391553
100232,SOUTH,2,7,4800,3,5,1,2,37,1,15,17069.57,2740.643774
100233,MIDWEST,2,5,2660,3,5,2,1,36,1,14,9730.29,12062.25282
100234,MIDWEST,2,3,1870,1,5,2,1,30,1,15,5380.05,8077.802558
100235,WEST,2,4,1900,2,5,2,2,74,3,8,9274.48,8508.850992
100236,NORTHEAST,5,6,1170,1,-2,2,1,23,2,2,2514.64,7139.411927
100237,NORTHEAST,2,2,2750,3,5,2,2,56,1,16,18758.71,5931.728313
100238,WEST,2,3,2090,2,5,3,2,70,3,13,18086.94,5994.418706
100239,WEST,1,6,1800,3,2,2,1,40,2,11,21980.29,8541.314117
100240,SOUTH,2,5,2100,3,5,2,2,56,1,13,9510.16,4405.388941
100241,MIDWEST,2,3,1620,3,5,3,2,66,3,11,12045.8,1736.374334
100242,WEST,5,8,750,2,-2,3,2,33,1,9,3202.68,7715.17393
100243,NORTHEAST,2,2,1350,3,5,2,2,36,4,14,5873.39,5419.749931
100244,SOUTH,2,4,1440,4,5,3,2,52,1,14,19272.07,9446.215364
100245,NORTHEAST,2,3,930,2,2,2,2,75,2,13,6330.98,7010.720595
100246,WEST,2,4,3000,2,5,2,2,50,1,16,17034.82,6486.263048
100247,SOUTH,2,9,2350,3,5,2,1,37,1,14,14743.54,6152.35019
100248,WEST,5,6,2100,3,-2,3,1,44,1,12,18268.6,10102.67139
100249,NORTHEAST,5,2,750,1,-2,2,1,30,1,16,1825.22,10449.75795
100250,SOUTH,2,7,1170,3,5,2,2,48,1,12,16570.57,10111.71203
100251,NORTHEAST,2,3,3430,2,5,1,1,79,3,4,3912.62,5514.036655
100252,SOUTH,4,4,1110,1,5,2,1,31,2,7,8818.31,7965.301479
100253,NORTHEAST,2,3,3200,3,5,3,2,85,3,13,9862.03,3786.684128
100254,WEST,4,3,600,7,2,2,2,72,3,6,6327.95,14709.96141
100255,SOUTH,3,5,2510,2,5,2,1,58,1,14,4063.42,5084.371639
100256,SOUTH,3,2,1020,1,5,1,1,67,3,11,7701.53,5597.000235
100257,NORTHEAST,3,1,3380,1,5,2,2,79,1,14,8698.25,10099.82577
100258,MIDWEST,2,3,1380,3,5,3,1,47,4,7,6291.51,4036.164869
100259,WEST,2,4,1650,2,5,2,1,78,3,10,8245.63,4849.542329
100260,SOUTH,2,6,3250,1,3,1,2,63,1,13,25188.91,9893.655469
100261,SOUTH,2,3,2200,1,5,2,2,27,1,8,9374.04,5041.417169
100262,WEST,5,9,1250,4,-2,1,2,27,1,14,4624.83,6433.663595
100263,WEST,2,2,1150,4,5,1,1,48,3,13,14021.69,13647.24916
100264,MIDWEST,2,5,3600,2,3,1,2,75,3,9,7450.96,8876.163188
100265,NORTHEAST,2,2,1650,3,2,3,1,35,1,13,12634.27,7890.079525
100266,SOUTH,2,6,1260,3,5,2,2,57,1,15,17303.1,2665.840581
100267,MIDWEST,2,3,1700,3,5,1,2,71,3,6,4785.22,8463.7338
100268,SOUTH,3,5,1700,1,5,1,2,41,1,16,5789.59,3861.902429
100269,MIDWEST,4,7,1000,3,5,2,1,28,1,13,5763.07,7107.500406
100270,WEST,2,6,1510,2,5,1,2,71,3,13,10569.54,2538.331487
100271,NORTHEAST,2,1,3600,3,5,2,2,50,1,16,7523.24,6440.298876
100272,MIDWEST,2,2,2690,3,5,3,1,47,1,16,9049.78,3711.226683
100273,WEST,1,5,860,3,3,2,2,74,3,4,10191.83,5680.958612
100274,SOUTH,2,7,2450,3,5,1,2,54,1,16,28188.9,6043.469755
100275,SOUTH,5,6,1000,1,-2,2,1,31,1,13,16700.69,4591.51466
100276,WEST,2,7,1780,4,5,1,1,68,3,14,6597.57,10498.73356
100277,WEST,5,9,780,2,-2,2,2,33,1,14,5305.58,6772.416606
100278,WEST,5,1,650,2,-2,4,1,37,1,14,3283.42,17054.75435
100279,SOUTH,5,6,1150,2,-2,2,2,28,1,15,1040.94,8966.973855
100280,WEST,4,5,900,1,3,3,1,22,4,1,3993.27,9592.570264
100281,MIDWEST,2,2,1200,1,5,1,1,49,1,15,18537.74,6241.397216
100282,SOUTH,2,3,630,1,5,1,1,69,3,5,18450.26,6006.296008
100283,NORTHEAST,2,4,2420,3,5,2,1,69,3,15,8913.22,6707.338932
100284,NORTHEAST,2,2,3470,3,5,2,2,71,1,11,5848.98,6459.788508
100285,WEST,5,4,760,3,-2,2,2,62,3,7,5573.41,4104.573254
100286,MIDWEST,2,4,2460,3,5,3,2,75,3,10,15102.39,9405.267374
100287,WEST,2,7,2450,5,5,1,1,45,1,13,5221.86,5357.242551
100288,WEST,2,3,1000,4,5,2,1,33,1,12,2999.16,11142.50685
100289,SOUTH,2,2,4200,1,5,2,1,55,1,11,13786.75,5494.77182
100290,WEST,2,4,1850,3,5,2,1,65,1,9,17323.96,4209.358141
100291,SOUTH,2,7,1760,1,3,2,1,51,1,6,8939.01,5122.664058
100292,WEST,2,1,2630,2,3,2,2,46,1,14,15910.05,7271.125347
100293,WEST,5,5,900,4,-2,1,2,40,1,10,6083.78,19811.93758
100294,SOUTH,2,5,4880,1,6,2,2,72,1,16,27545.73,7657.99489
100295,WEST,2,5,2700,2,5,2,2,63,1,15,20953.8,5872.428952
100296,SOUTH,1,7,1680,3,5,3,1,67,3,1,26334.45,3155.324277
100297,WEST,5,6,800,3,-2,1,2,24,1,13,5892.1,2531.824872
100298,NORTHEAST,5,6,1000,2,-2,2,2,67,3,4,1520.4,3280.128038
100299,NORTHEAST,3,6,2200,1,5,1,1,57,1,13,1096.75,7730.427394
100300,WEST,3,5,1190,4,99,2,1,75,3,12,3297.81,2039.898233
100301,WEST,2,1,490,2,5,2,1,65,2,7,3793.12,14700.41914
100302,NORTHEAST,2,4,1880,3,3,2,2,65,1,13,14562.5,2149.184302
100303,SOUTH,3,5,2000,1,5,2,1,49,1,16,18597.47,4506.069025
100304,SOUTH,2,7,3010,1,5,2,1,52,3,14,19093.09,9564.758706
100305,WEST,2,5,2200,2,3,1,1,74,3,14,5753.72,834.226464
100306,MIDWEST,2,4,4200,3,5,1,2,60,1,16,10213.52,7137.44761
100307,MIDWEST,3,4,2190,3,5,3,2,65,3,12,2782.56,4223.361513
100308,NORTHEAST,4,1,1000,3,5,1,2,25,1,13,1781.56,4750.782238
100309,NORTHEAST,5,5,650,1,-2,2,1,39,4,7,3654.5,10430.41625
100310,MIDWEST,2,2,3000,1,5,2,2,77,3,8,5584.26,6629.145423
100311,SOUTH,2,1,1920,2,3,2,2,67,3,7,5937.96,9184.148856
100312,MIDWEST,5,2,750,1,-2,2,1,70,3,3,13063.29,8055.849083
100313,WEST,1,5,400,2,2,1,2,86,3,7,4323.38,13090.95081
100314,WEST,2,7,1400,4,1,2,1,66,3,11,7411.01,3929.938214
100315,SOUTH,2,5,2500,2,5,1,2,74,3,14,15887.6,6814.158146
100316,WEST,2,3,1150,1,5,2,2,29,4,12,15647.7,4470.551171
100317,WEST,2,1,780,4,5,2,2,72,3,5,960.92,17006.20365
100318,SOUTH,2,8,4400,4,5,1,1,73,3,16,12006.66,7398.550253
100319,MIDWEST,2,4,1400,3,5,2,1,48,1,12,14332.91,3897.265045
